user_profile_gender,user_profile_age,user_profile_bmi,json_steps
male,44.0,44.46746444730001,3950.4615626307404
male,69.0,25.190255891800003,8231.822675408992
female,30.0,26.494637360600024,3615.93514416539
male,28.0,26.364896569399995,5515.0513700491765
female,30.0,20.423236549200034,4431.034562211981
male,64.0,26.054847024299992,5549.805852285362
male,45.0,46.144751524000064,4835.801421592401
male,56.0,25.821023565799965,4756.591784093922
female,31.0,23.35217526079999,6303.706146450315
male,37.0,25.083043086099973,6876.349779957097
female,63.0,25.87833781350001,5854.029811405921
female,68.0,28.44392616829999,5866.431428571429
female,40.0,28.749505908300026,3905.432
male,76.0,24.036573405399995,3871.8092783505153
male,53.0,30.23806383500003,9289.638648896958
female,26.0,23.26185301140002,7386.069403167859
male,28.0,24.315296302499984,5912.505261485229
female,73.0,24.79511233419999,4709.980326262482
female,45.0,23.133607730100024,3699.2380995311782
male,46.0,29.464417872399988,6926.680271488235
female,42.0,25.820941469999998,4531.780305869902
male,27.0,,5962.367081876342
female,22.0,22.109108227300002,4719.090466388803
male,45.0,23.447923087200014,7014.354838709677
male,56.0,30.30181662900003,7329.555746496888
female,33.0,25.2084868595,4865.407768222114
female,68.0,27.55114024559999,3610.099291061155
male,29.0,22.8802279299,8212.955489614244
male,70.0,30.975578278700006,4007.6873614190686
male,22.0,27.676528438400034,4610.987115101968
male,46.0,27.401794808100014,6749.131004578134
male,32.0,45.5114599204,5058.274576271187
female,25.0,31.7479018154,4707.301562534446
male,67.0,31.40293338140001,3430.9148936170213
male,23.0,35.25499171299999,7816.832960175441
male,28.0,28.247462814699997,8507.653056225945
male,40.0,26.377792947800053,6173.388994024801
male,50.0,23.600137511700005,5544.387622149837
male,23.0,21.409443425300008,5464.536959430315
male,21.0,22.35943855970001,4382.210912443925
male,52.0,28.979262369500017,7638.059602649007
male,56.0,28.730548780400007,4004.808944254102
male,37.0,24.08707416150002,12720.011989723718
male,27.0,28.642807653099982,6031.510626969769
male,33.0,22.8103446176,6906.75961602383
female,56.0,25.950212431100002,2825.970811584937
male,43.0,25.0568167559,8772.999027474505
male,46.0,28.608707627599994,5626.480668525486
male,41.0,26.368317906000005,4072.0133928571427
female,32.0,32.33075685750003,6799.697720552155
male,52.0,26.343111120399975,12546.82644339646
male,60.0,39.48675475339998,3605.222560543185
female,37.0,21.22224039879998,5634.939182408471
male,45.0,24.29527635980001,3438.4016682056404
male,46.0,33.21182927599997,4698.100973489301
male,42.0,25.961853177899968,3390.3140794223827
female,60.0,26.22846367350002,7329.202197947356
male,68.0,31.12214099879998,6718.293264888135
male,48.0,30.488130783400003,5463.562227471396
male,19.0,28.320528937,5294.840101900698
female,50.0,19.6053596374,4953.070093457944
female,32.0,37.9722689304,4842.775031344487
male,41.0,27.6264458915,8346.419252114172
male,46.0,49.184028067000014,5256.8952483365065
male,54.0,21.71574510350001,12063.09920807329
male,69.0,23.582886855899968,10142.242523054028
male,51.0,29.34245403390002,4007.111524163569
male,37.0,30.8089107268,5828.343117328578
male,49.0,42.94549380729997,7018.738562091503
male,24.0,,6912.859194789813
male,27.0,23.43091394819999,3239.4968348629614
female,41.0,33.141733448800025,3588.919512195122
female,64.0,42.43660504969997,3014.843806929465
female,68.0,25.36081884709998,6550.272727272727
female,74.0,24.819905528500012,4543.4342301382485
female,21.0,20.5847587281,5645.140099786419
male,48.0,29.674207748699995,5743.305704671912
male,63.0,22.79801671270001,5281.814656814621
male,52.0,25.068019301200014,4613.182811527154
male,22.0,28.225675777800003,9474.742616033755
male,34.0,27.024437426799985,5380.736263736264
male,24.0,21.258798186800036,4964.997106668316
male,,34.95074673660004,5332.355945381024
male,35.0,32.35463766060001,6579.420382165605
female,63.0,25.586654454399994,2546.483781267488
female,63.0,20.190963762599964,8122.6962352540495
male,47.0,,4652.504281339569
male,30.0,26.866089571300062,6962.0771428571425
male,56.0,24.880240702600013,3543.796198510565
male,43.0,25.095996061799973,5152.795074475521
male,45.0,25.304744937699994,9765.331428571428
female,51.0,29.069486005899993,3911.1566961877497
male,52.0,23.198153993300018,12338.803012556415
male,66.0,,3398.474272350941
female,24.0,23.072375761999986,8940.16450415916
male,78.0,25.85752522250001,3327.7021260905262
female,40.0,16.444436039399996,3741.386206896552
female,58.0,27.192446338799986,5316.995634013552
female,40.0,27.06185000899998,2841.2379628835533
male,63.0,26.27957868559999,5468.966352772064
female,30.0,22.99447633709999,3920.456026058632
male,58.0,26.98894698179999,2362.0598798063543
male,,23.333638407700022,5376.20352380158
male,43.0,25.00922035849999,8157.936758893281
male,65.0,25.259300696700024,3647.670673076923
female,72.0,26.52328268990003,3985.1585919968456
female,20.0,23.9189422578,6194.682424804251
female,30.0,20.607088714399996,4778.069387755102
male,40.0,27.966536405700023,9396.485953449881
male,47.0,29.31021052359998,7605.770833333333
male,48.0,30.075266996999975,5451.608365949945
female,25.0,23.85619614119999,6441.201775144027
male,53.0,34.06547512120002,3458.005281154069
male,59.0,25.915116699399984,5080.05367896052
female,22.0,36.09179241330002,8124.483387738167
male,19.0,23.326144022500063,5915.781807692768
female,23.0,24.473895469899997,6233.388563223981
female,28.0,18.957093053199998,3715.880532253932
female,24.0,18.72979380909999,3881.1092896174864
female,19.0,28.145303027800008,6745.308467851567
male,54.0,28.0627125561,6044.946125128253
male,42.0,17.587334597599995,4720.668488244645
male,41.0,22.5945099608,5109.228346456693
female,31.0,26.9968844518,5105.655292696778
female,33.0,19.324436253000016,7268.63560722786
male,73.0,24.70401607260003,8614.493112947659
male,44.0,31.086841112999995,8984.962955579724
female,27.0,,5838.2714817864935
female,62.0,25.815997312299963,14543.013245033113
male,69.0,,4640.6200746803315
female,61.0,24.983767546599978,2842.74009303118
male,68.0,25.76677003910001,4043.81738619324
female,56.0,23.108138476299978,6969.207407407407
male,45.0,26.9228620649,4820.813590448003
male,,24.8199055285,10207.909034499153
male,33.0,24.70101384880001,3947.0073828128347
male,55.0,24.6308267938,4698.707679216201
male,19.0,22.942743347300024,7082.074449008586
female,28.0,31.4788860324,3778.901098901099
female,30.0,26.33097157769999,5970.509416056787
female,19.0,18.9802342314,6389.841386767951
male,31.0,22.778753926000014,5699.011964915449
female,28.0,20.607088714399996,4021.1189563449343
male,24.0,20.01679765460001,7675.3289395463
male,70.0,24.193440622,2602.6623399971754
male,21.0,23.661973798100004,3744.642430547463
male,68.0,28.806457886,3753.0452833563377
female,52.0,21.625218331500008,4180.725490196079
male,41.0,30.748078169900037,4175.517114724154
male,31.0,41.3824652664,4366.288732394366
male,52.0,20.8837209756,10985.564705882352
female,37.0,21.4200066249,4366.807309547105
male,57.0,26.710683749700017,5187.265983216683
male,28.0,22.384375969600004,7149.095449371145
female,26.0,26.58353905390001,3957.5498767438585
female,54.0,20.563207510399995,4950.151532573023
female,25.0,25.059436724000026,6924.678846581329
male,70.0,,5156.00358920035
female,24.0,29.320547433299954,7931.440440225689
male,46.0,23.378040933100007,6999.589432503447
male,35.0,28.368276846400015,3931.915545572215
female,19.0,32.96054006240001,8755.769422401761
male,55.0,26.15606341450001,13549.722147942806
male,26.0,28.15172747880001,5139.828947368421
female,22.0,22.932745869300007,7266.482387982901
male,49.0,22.4998813784,3606.8616010687865
female,55.0,24.64408095070001,1751.888581333591
male,50.0,25.03293838529999,7948.274235176037
female,19.0,25.004093750299965,6771.3197999178865
female,27.0,26.398778372600052,4788.5710282592445
male,40.0,22.37743661980001,9070.74189556892
male,49.0,29.26491475939998,4910.891403553248
male,33.0,25.39181498820004,2311.96196359276
female,25.0,20.2204249266,4801.011361581188
female,20.0,20.274161057900013,7911.745563058995
female,19.0,21.09370004200001,4959.363163130183
female,25.0,23.670541584500008,6220.462311557789
